"Note to RAs. This spreadsheet contains a bunch of track information for possible tracks that could be useful. It was Sam and Manvir's first round of promising searches using the Harvard Archive of World Music. You can find a record of each item via the Harvard Library at http://hollis.harvard.edu, doing an advanced search by Hollis #, and pasting the number in Column E.",,,,,,,,,
,,,,,,what tracks are possibly useful here?,,,
subregion,culture,recording title,call #,hollis #,location/comments,lullaby,dance,healing,love
Southern South America,Mataco,Argentina  : the Indians of the Gran Chaco.,F2823.M3 A74 2005x,9794439,Tozzer CD,,"3,5,7",14,
Southern South America,Qawashqar,Amerindian music of Chile,CD 11266,9101051,,7a,,,"4c,5c,8a,12aXXX"
Southwest and Basin,Hopi,Hopi Katcina songs & 6 songs by Hopi chanters .,CD 15272,9980296,more hopi songs on anthologies of North American Indians,,"2,3,6,13,13-17",,
Southwest and Basin,Hopi,A cry from the earth  : music of the North AmericanIndians,CD 15301,9980282,,8,,,
Southwest and Basin,Yuma,"Songs of the Yuma, Cocopa, and Yaqui [sound recording]",LP 128,4658679,also in lamont,,,"B5,B6",
Southwest and Basin,Navajo,Traditional Navajo songs,CD 18829,8308923,Loeb bought,"17,18","2,5,6,8,10,11,14,15,16",,"1,4"
Southwest and Basin,Papago/O'odham,Healing songs of the American Indians,online,13301505,Lamont has a copy,,,"B1,2,3,4",
Western Africa,Dogon,Mali  : les Dogon : musique des masques et des funérailles.,CD 10743,8319929,,,"3,6,8,13",,
Western Africa,Dogon,Mali  : musiques et chants des Dogon = music and songs from the Dogon.,CD 13509,7671714,,,"12,16,18,19",,
Western Africa,Hausa,Musique dendi  / Harouna Goge.,CD 14674,8393652,,,9,,
Western Africa,Akan,Akom  : the art of possession.,CD 14680,8393073,,,"1,4,5,8,16,19",,
Western Africa,Hausa,Hausa children's music  / recorded by Willard Rhodes with Abdulkarim Mohammed.,LP 6523,4136101,,,all dance songs,,
Western Africa,Dogon,"Les Dogon  : les chants de la vie, le rituel funéraire",LP 920,8316343,,,"B5,6",A6,
Western Africa,Wolof,Wolof Music of Senegal and the Gambia,LP 989,8317367,,,"2,4,6,8",,
Western Africa,Akan,Ébrié  : Côte d'Ivoire.,Rouget 5a,12557667,,,,2,1XXX
Western Africa,Akan,Baoulé  : Côte d'Ivoire.,Rouget 5a,12594222,,,,"1,2",
Western Africa,Ewé,Ghana: Rhythms of the people,CD 10703,,,,,,
Western Africa,Ewé,Togo: Music from west africa,CD 11242,8494149,,"9a,9b",,,
Western Africa,Baka,Baka pygmy music,CD 9621,5487073,,7,,,
