There are 0 tracks left to validate.,,,Sumi has done 740 and Vanessa has done 805.,,Yes,SON,"1. Confirm that the track is NOT SKETCHY (e.g., overproduced, operatic, etc).",2. Confirm that there is an AUDIBLE SINGER.,3. Are there any problems with the TYPE classification?,4. Are there any problems with the REGION classification? ,5. Are there any problems with the GLOTTOCODE classification?,,"These fields are provided for quick reference, as they might make it easier to locate validation info in liner notes",,,,,,,,,
NHS2-0026,Procession,Amazon and Orinoco,Kayapo,kaya1330,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kaya1330,Mebiok; Processional,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Mebiok; Processional //GLOBAL JUKEBOX CODING ID: 2380//,Processional music; ceremonial song //GLOBAL JUKEBOX CODING ID: 2380//,1,,HLR,CMB
NHS2-0019,Story,Amazon and Orinoco,Kamayura,kama1373,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/kama1373,Noitinha 1,1,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Les 4 CDR contiennent 7 séries de chants. DUO ALTERNE : par le maître de chant et son disciple. Voix : par moments, imitations des cris d'animaux sauvages. Les chants sont des épopées //""The chants are epics""; CREM CODE: CNRSMH_I_2002_017_001_01//",1,,HLR,LGY
NHS2-0031,Story,Amazon and Orinoco,Xacriaba,port1283,Yes,SON,Yes,Yes,Not problematic,Maybe problematic,Not problematic,Minas Gerais is in Eastern South America,https://glottolog.org/resource/languoid/id/port1283,Cantos : Historia cantada - Très irmas,"CD n°3, plage 5",The song is identified as such in its title or label,Cantos : Historia cantada - Très irmas //CREM CODE: CNRSMH_I_2002_032_003_05//,NA,1,,HLR,LGY
NHS2-0035,Story,Amazon and Orinoco,Saramaka,sara1340,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sara1340,Ba Anansi (Brother Anansi),"Disc 1, Track 22","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Anansi is the spider trickster of the Ashanti people of Ghana, once called the Gold Coast. Much Ashanti lore has survived in the West Indies and nearby coastal communities. Many of the tales told to children retain Anansi as the chief hero or villain, and occasionally songs are sung about him. This song about Anansi probably comes from one of the tales in which he is featured. //SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04533_403 / FE 4533; LINER NOTES (DOWNLOADED PDF, PP. 8-9)//",1,,KAH,LGY
NHS2-0036,Story,Amazon and Orinoco,Saramaka,sara1340,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sara1340,History in Song,Disc 1 Track 3,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"The encapsulation of history in song is one of the characteristic modes in which Saramakas preserve their memory of the past. This selection is a fragment of a narrative in which an elder, widely respected for his historical knowledge, recounts the events that celebrated the signing of the peace treaty with the whites in 1762. // SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04225_103, RELEVANT INFO IN LINER NOTES PG. 4 //",1,,KAH,LGY
NHS2-0057,Story,Amazon and Orinoco,Yawalapiti,yawa1261,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yawa1261,Ceremonial Song,"Side 2, Band 1","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Description: Ceremonial song recounting the creation legend and invoking spirits of the dead //GLOBAL JUKEBOX CODING ID: 139//,1,,HLR,LGY
NHS2-0001,Work,Amazon and Orinoco,Asháninka,ajyi1238,Yes,SON,Yes,Yes,Not problematic,Maybe problematic,Not problematic,Peru is in Central Andes,https://glottolog.org/resource/languoid/id/ajyi1238,Manioc Beer Song,"Band 11, Side 2","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Manioc Beer Song //GLOBAL JUKEBOX CODING ID: 894//,Manioc song; work song //GLOBAL JUKEBOX CODING ID: 894//,1,,HLR,LGY
NHS2-0005,Work,Amazon and Orinoco,Bororo,boro1282,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/boro1282,Marido paru,Disc 1 Track 2,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Two teams of men had left the village that morning and returned some hours later with a quantity of palm leaves. With these they set to work to make two enormous wheels one and a half metres tall: the marido. The men sing as they make preparations (paru) for the games which will take place the following day. // SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: UNES08201_102, RELEVANT INFO IN LINER NOTES PG. 4 //",1,,KAH,LGY
NHS2-0008,Work,Amazon and Orinoco,Canela Kraho,cane1242,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cane1242,Call to Work,NA,"The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Work song; manioc song //GLOBAL JUKEBOX CODING ID: 2460//,"Call to work; ceremonial leader calls people of the village to join in and do some work, gathering manioc or similar //GLOBAL JUKEBOX CODING ID: 2460//",1,,HLR,CMB
NHS2-0028,Work,Amazon and Orinoco,Maku,maku1246,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/maku1246,Plantation Song,NA,The song is identified as such in its title or label,Plantation Song //AILLA: Home » Collections » Amazonian Languages Collection of Ernest Migliazza » Plantation Song//,NA,1,,HLR,LGY
NHS2-0037,Work,Amazon and Orinoco,Saramaka,sara1340,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/sara1340,Tree-Felling Songs: Matjáu baai,"Disc 1, Track 1","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Tree-felling songs (matjau baai—literally “axe calls”) traditionally accompany this major yearly phase of the horticultural process. In the course of a matjau baai, the singer calls, often repeatedly, on a range of forest gods who have jurisdiction over the site, on other gods and ancestors to give strength to help the work go fast, on still others to bring wind to help blow the tree over, and on others to protect the workers from injury. There is a boastful, arrogant tone in parts of the performance; the men recount their strength, courage and skill, recite their praise names, quote appropriate proverbs, and command the women to fetch water and food. // SMITHSONIAN FOLKWAYS CATALOGUE NUMBER: FW04225_101, RELEVANT INFO IN LINER NOTES PG. 4 //",1,,KAH,LGY
NHS2-0044,Work,Amazon and Orinoco,Tucano,tuca1252,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/tuca1252,Cocoa Pounding Song,NA,The song is identified as such in its title or label,Cocoa Pounding Song //GLOBAL JUKEBOX CODING ID: 3858//,Genre: Work song; pounding song //GLOBAL JUKEBOX CODING ID: 3858//,1,,HLR,CMB
NHS2-0053,Work,Amazon and Orinoco,Yanoama,yano1261,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/yano1261,Song of Two Women Grating Manioc,Disc 2 Track 10,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"This work has appeared... as an appendix to an ethnological publication of some length, in this case as “Musik der Makuschi, Taulipáng und Yekuaná” in Koch-Grüngerg’s account of expedition, ""Vom Roroima zum Orinoko, III"" (Stuttgart, 1925). The reproduced transcription is Ex. 21, pg 431. // SMITHSONIAN FOLKWAYS CATALOG NUMBER: FW04175_310 ; LINER NOTES (DOWNLOADED PDF, PP. 36)// The chants of the Makushi and Wapianana women (Ex. 18-21) while rubbing the cassava root sound similar to our children's songs. (Beginning of the first full paragraph on pg. 419) // VOM ROROIMA ZUM ORINOKO BAND III (RELEVANT PAGE NUMBERS ABOVE) GOOGLE-TRANSLATED FROM GERMAN ; LINK TO PDF: https://ia802303.us.archive.org/25/items/bub_br_1918_01011130/bub_br_1918_01011130.pdf //",1,,KAH,LGY
NHS2-0063,Dance,Arctic and Subarctic,Kivallirmiut,east2534,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/east2534,Johnnie Bull Song,"Disc 1, Track 1","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Dance song; narrative song //GENRE ON GLOBAL JUKEBOX//,"Dance song recounting the tale of an old hunter //DESCRIPTION ON GLOBAL JUKEBOX//, Singing and dancing are an important part of life. Most of the songs, with the exception of incantations and children's songs, can be used for dancing. Many of the dancing songs recount the experiences of the composer, many of them tell of exciting hunts and other exploits. //LINER NOTES ON FOLKWAYS//NA",1,,CMB,LGY
NHS2-0078,Dance,Arctic and Subarctic,Yu'pik Inuit,nort2943,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nort2943,Dance song,"Disc 1, Track 16",The song is identified as such in its title or label,Dance song //FOLKWAYS SONG TITLE//,NA,1,,CMB,LGY
NHS2-0081,Dance,Arctic and Subarctic,Ojibwa,ojib1241,Yes,SON,Yes,Yes,Not problematic,Definitely problematic,Not problematic,recorded in Minnesota,https://glottolog.org/resource/languoid/id/ojib1241,Kingbird singers,Track 1,,51,24-25,1,,SDA,LGY
NHS2-0084,Dance,Arctic and Subarctic,Copper Inuit,west2618,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/west2618,Two dances from the Mackenzie Delta,"Disc 1, Track 7","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Two dances from the Mackenzie Delta //TITLE ON FOLKWAYS//,by the Mackenzie Delta Drummers and Dancers //LINER NOTES ON FOLKWAYS//,1,,CMB,LGY
NHS2-0080,Healing,Arctic and Subarctic,Ojibwa,nort2961,Yes,VYM,Yes,Yes,Not problematic,Definitely problematic,Not problematic,recorded in Minnesota,https://glottolog.org/resource/languoid/id/nort2961,The approach of the thunderbirds,Track 1,,5,4-May,1,,CMB,LGY
NHS2-0061,Love,Arctic and Subarctic,Ojibwa,chip1241,Yes,SON,Yes,Yes,Not problematic,Definitely problematic,Not problematic,recorded in Minnesota,https://glottolog.org/resource/languoid/id/chip1241,"Love song, James Littlewolf",Track 12,,52,42-43,1,,CMB,LGY
NHS2-0066,Lullaby,Arctic and Subarctic,Nunatsiaqmiut,east2534,Yes,VYM,Yes,Yes,Maybe problematic,Not problematic,Not problematic,"liner notes: ""selected excerpts from Inuit games and songs"" >> play song",https://glottolog.org/resource/languoid/id/east2534,CANADA: Two Aqausiit from Ungava Bay,"Disc 1, Track 17","The song is identified as such in its title or label, There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)","CANADA: Two Aqausiit from Ungava Bay //TITLE ON FOLKWAYS//, Lullabies and Children's Songs //ALBUM TITLE ON FOLKWAYS//","aqausiit or lullabies for children //WORD DEFINED PAGE 202 IN ARCTIC LANGUAGES AN AWAKENING, DIRMID R. F. COLLIS, UNESCO//",1,,CMB,LGY
NHS2-0067,Lullaby,Arctic and Subarctic,Inuit Iglulik,east2534,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/east2534,Lullabies and aqausiit: Lullaby,Track 37,,6,6,1,,CMB,LGY
NHS2-0068,Play,Arctic and Subarctic,Inuit,east2534,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/east2534,Children's game,"Disc 1, Track 9",The song is identified as such in its title or label,Children's game //FOLKWAYS//,NA,1,,CMB,LGY
NHS2-0069,Play,Arctic and Subarctic,Nunatsiaqmiut,east2534,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/east2534,Assalalaa,"Disc 1, Track 13","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,Vocal game which children are supposed to sing in a single breath while wiggling as if their joints had turned to rubber //DESCRIPTION IN GLOBAL JUKEBOX//,1,,CMB,LGY
NHS2-0060,Praise,Arctic and Subarctic,Inuit,cent2127,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/cent2127,"Praise, Praise God","Disc 1, Track 7",The song is identified as such in its title or label,"Praise, Praise God //FOLKWAYS SONG TITLE, CATALOG # FW04069_107//",NA,1,,AMB,LGY
NHS2-0079,Story,Arctic and Subarctic,Inuit,nort2943,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/nort2943,Story songs: Boy resting by the river; Nooneedle bird; Man who was not a good hunter,15,The song is identified as such in its title or label,"Story songs: Boy resting by the river; Nooneedle bird; Man who was not a good hunter //FOLKWAYS SONG NAME, CATALOG # FW04444_115 //","Detailed description of stories in liner notes //LINER NOTES, https://folkways-media.si.edu/liner_notes/folkways/FW04444.pdf//",1,,AMB,LGY
NHS2-0086,Story,Arctic and Subarctic,Copper Inuit,west2618,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/west2618,Birth of earthworms,15,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc), The lyrics made it clear to me what type of song this is","Ballad //SMITHSONIAN FOLKWAYS LINER NOTES, CATALOG # UNES08053_115//",NA,1,,AMB,LGY
NHS2-0092,Dance,Australia,Yolngu,dhuw1249,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,yuul1239,https://glottolog.org/resource/languoid/id/dhuw1249,Djedbang-ari,"Disc 1, Track 1","There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",,This is a special form of song and dance from the Yirkalla district in the far north-east of Arnhem land. A usual feature of the structure is a break in the singing half-way through a stanza and dance scene. //CATALOGUE NUMBER FW04439_101 IN SMITHSONIAN FOLK WAYS RECORDINGS SMITHSONIAN FOLKWAYS ALBUM HAS ADDITIONAL LINER NOTES FOUND ON PAGE 4//,1,,DWL,LGY
NHS2-0096,Dance,Australia,Gajirrawoong,gadj1243,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,"the liner notes say ""Garama"" but I can't find the glottocode",https://glottolog.org/resource/languoid/id/gadj1243,Djanba,8,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Kununurra — outside with dancing. //PAGE 12 COMPANION BOOKLET, AIATSIS//",1,,DWL,JSL
NHS2-0110,Dance,Australia,Nyulnyul,nyul1247,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Maybe problematic,bard1255,https://glottolog.org/resource/languoid/id/nyul1247,Waggin's Nurlu,3,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Dance songs accompanied by boomerang clapsticks are called nurlu by Nyulnyul people //PAGE 5, COMPANION BOOKLET FOR COMPACT DISC, AIATSIS//",1,,DWL,JSL
NHS2-0112,Dance,Australia,Pitjantjatjara,pitj1243,Yes,VYM,Yes,Yes,Maybe problematic,Not problematic,Not problematic,ritual/religious song with accompanied by24 dance ,https://glottolog.org/resource/languoid/id/pitj1243,Corroboree of Women,NA,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",Women's song; dance song; corroboree song; cereomonial song //CODING ID 1461 GENRE FROM GLOBAL JUKEBOX//,"The songs are interpreted during meetings (camp songs) the council of elders or religious ceremonies. All participants paint their faces and body designs symbolizing their totem, and they dance the ""corroborated"" //CREM ETHNOGRAPHIC CONTEXT TRANSLATION FROM FRENCH//",1,,DWL,LGY
NHS2-0117,Dance,Australia,Wadjiginy,wadj1254,Yes,SON,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/wadj1254,Wongga dance songs (selected items),"Disk 1, Track 6",The song is identified as such in its title or label,Wongga dance songs //SMITHSONIAN FOLKWAYS CATALOGUE UNES08040_106//,"Song words refer to family territory. Calls, stamping feet of dancers, synchronized handclaps of bystanders (mainly Aboriginal children) mingle in these four items with the singing and stick-beating. //SMITHSONIAN FOLK WAYS ALBUM AUSTRALIA: ABORIGINAL MUSIC LINER PAGE 4//",1,,DWL,LGY
NHS2-0126,Dance,Australia,Worrorroan,worr1237,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Not problematic,,https://glottolog.org/resource/languoid/id/worr1237,Totem Dance,7,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Sung outside with dancing (public performance) //PAGE 12, COMPANION BOOKLET, AIATSIS//",1,,DWL,JSL
NHS2-0128,Dance,Australia,Wunambal,wuna1249,Yes,VYM,Yes,Yes,Not problematic,Not problematic,Definitely problematic,woro1258,https://glottolog.org/resource/languoid/id/wuna1249,Balganya,5,"There is text in associated ethnography that states what type of song this is (this could be in liner notes, it could be in an email from an anthropologist, etc)",NA,"Dance songs accompanied by paired sticks are called balga by the Wunambul and Ungarinyin and balgan, balganya or djuan-banya by the Worora //PAGE 5, COMPANION BOOK TO COMPACT DISC, AIATSIS//",1,,DWL,JSL
NHS2-0122,Healing,Australia,Walbiri,warl1254,Yes,VYM,Yes,Yes,Definitely problematic,Not problematic,Not problematic,the liner notes don't say anything about genre; https://scholarspace.manoa.hawaii.edu/bitstream/10125/24879/LDC_SP18%20ARCHIVAL%20RETURNS_Chapter5.pdf (pdf p.5 suggests story song),https://glottolog.org/resource/languoid/id/warl1254,Women's secret Yowalyu ceremonies,Track 37A,,5,5,1,,CMB,LGY
